ISO,Country,scoreEconomy
ALB,Albania,7.54
DZA,Algeria,4.84
AGO,Angola,5.4
ARG,Argentina,4.88
ARM,Armenia,7.6
AUS,Australia,7.99
AUT,Austria,7.66
AZE,Azerbaijan,6.38
BHS,Bahamas,7.3
BHR,Bahrain,7.38
BGD,Bangladesh,6.32
BRD,Barbados,6.47
BEL,Belgium,7.44
BLZ,Belize,6.5
BEN,Benin,5.77
BTN,Bhutan,7.11
BOL,Bolivia,6.03
BIH,Bosnia and Herzegovina,6.61
BWA,Botswana,7.37
BRA,Brazil,5.75
BRN,Brunei Darussalam,6.76
BGR,Bulgaria,7.39
BFA,Burkina Faso,5.87
BDI,Burundi,6.08
KHM,Cambodia,7.21
CMR,Cameroon,5.92
CAN,Canada,7.94
CPV,Cape Verde,6.66
CAF,Central Afr. Rep.,4.62
TCD,Chad,5.26
CHL,Chile,7.77
CHN,China,6.4
COL,Colombia,6.4
COD,"Congo, Dem. R.",5.45
COG,"Congo, Rep. Of",4.81
CRI,Costa Rica,7.52
CIV,Cote d'Ivoire,5.88
HRV,Croatia,7.02
CYP,Cyprus,7.79
CZE,Czech Rep.,7.46
DNK,Denmark,7.77
DOM,Dominican Rep.,7.21
ECU,Ecuador,5.88
EGY,Egypt,5.73
SLV,El Salvador,7.13
EST,Estonia,7.95
ETH,Ethiopia,5.53
FJI,Fiji,6.68
FIN,Finland,7.75
FRA,France,7.33
GAB,Gabon,5.76
GMB,"Gambia, The",7.24
GEO,Georgia,8.01
DEU,Germany,7.69
GHA,Ghana,6.53
GRC,Greece,6.36
GTM,Guatemala,7.69
GIN,Guinea,5.75
GNB,Guinea-Bissau,5.65
GUY,Guyana,6.45
HTI,Haiti,6.53
HND,Honduras,7.3
HKG,Hong Kong,8.97
HUN,Hungary,7.3
ISL,Iceland,7.23
IND,India,6.63
IDN,Indonesia,7
IRN,Iran,5.31
IRL,Ireland,8.19
ISR,Israel,7.49
ITA,Italy,7.3
JAM,Jamaica,7.3
JPN,Japan,7.47
JOR,Jordan,7.47
KAZ,Kazakhstan,7.18
KEN,Kenya,7.11
KOR,"Korea, South",7.54
KWT,Kuwait,6.62
KGZ,Kyrgyz Republic,6.89
LAO,Laos,6.98
LVA,Latvia,7.75
LBN,Lebanon,6.91
LSO,Lesotho,6.58
LBR,Liberia,6.8
LBY,Libya,4.95
LTU,Lithuania,7.92
LUX,Luxembourg,7.63
MKD,Macedonia,7.17
MDG,Madagascar,6.44
MWI,Malawi,5.86
MYS,Malaysia,7.19
MLI,Mali,5.9
MLT,Malta,7.7
MRT,Mauritania,5.56
MUS,Mauritius,8.04
MEX,Mexico,6.95
MDA,Moldova,6.56
MNG,Mongolia,7.43
MNE,Montenegro,6.77
MAR,Morocco,6.29
MOZ,Mozambique,5.62
MMR,Myanmar,5.26
NAM,Namibia,6.76
NPL,Nepal,6.49
NLD,Netherlands,7.74
NZL,New Zealand,8.48
NIC,Nicaragua,7.28
NER,Niger,5.74
NGA,Nigeria,6.38
NOR,Norway,7.67
OMN,Oman,6.62
PAK,Pakistan,5.93
PAN,Panama,7.59
PNG,Pap. New Guinea,6.42
PRY,Paraguay,6.91
PER,Peru,7.44
PHL,Philippines,7.47
POL,Poland,7.34
PRT,Portugal,7.53
QAT,Qatar,7.43
ROU,Romania,7.72
RUS,Russia,6.6
RWA,Rwanda,7.57
SAU,Saudi Arabia,6.24
SEN,Senegal,6.16
SRB,Serbia,6.75
SYC,Seychelles,7.42
SLE,Sierra Leone,5.78
SGP,Singapore,8.81
SVK,Slovak Rep,7.31
SVN,Slovenia,7
ZAF,South Africa,6.63
ESP,Spain,7.51
LKA,Sri Lanka,6.65
SUR,Suriname,6.67
SWZ,Swaziland,6.79
SWE,Sweden,7.65
CHE,Switzerland,8.44
SYR,Syria,5.22
TWN,Taiwan,7.7
TJK,Tajikistan,6.8
TZA,Tanzania,6.92
THA,Thailand,6.75
TLS,Timor-Leste,6.29
TGO,Togo,5.7
TTO,Trinidad & Tob.,6.5
TUN,Tunisia,6.32
TUR,Turkey,6.82
UGA,Uganda,7.25
UKR,Ukraine,5.38
ARE,Unit. Arab Em.,7.5
GBR,United Kingdom,8.05
USA,United States,7.94
URY,Uruguay,7.16
VEN,Venezuela,2.92
VNM,Vietnam,6.3
YEM,"Yemen, Rep.",6.17
ZMB,Zambia,6.75
ZWE,Zimbabwe,5.61